Username From;folcount;frcount;Tweet;Mention
wakilbupatipml;287;229;b'Vaksin tahap pertama sebelumnya sudah dilakukan Bupati Agung, Rabu, (10/3/2021) yang lalu di Puskesmas Kebondalem @PemkabPemalang #VaksinasiNasional #VaksinCovid19 https://t.co/0O0H8MjqK8';PemkabPemalang
wakilbupatipml;287;229;b'Bupati Pemalang,\xc2\xa0 @muktiagungwbw, hari ini, Kamis (25/3/2021) melakukan vaksin covid-19 tahap kedua di Pasar Petarukan #VaksinCovid19 #pemalang @ganjarpranowo https://t.co/raXfbDa7I7';muktiagungwbw
wakilbupatipml;287;229;b'Bupati Pemalang,\xc2\xa0 @muktiagungwbw, hari ini, Kamis (25/3/2021) melakukan vaksin covid-19 tahap kedua di Pasar Petarukan #VaksinCovid19 #pemalang @ganjarpranowo https://t.co/raXfbDa7I7';ganjarpranowo
papipungky;412;285;b'Numpang tanya, kalau cekdi https://t.co/MwhVn5Wq7L dan dapatnya begini, apakah bisa langsung ke faskes vaksinasi covid atau gimana ya? Terima kasih sebelumnya. @pedulilindungi #VaksinCovid19 #VaksinasiNasional https://t.co/KI4vAjares';pedulilindungi
feelgoodboy;180;63;b'Kangkah itu adalah susulan daripada pendaftaran buat golongan sasar bagi fasa kedua ini masih kurang sambutan dan belum diterima sepenuhnya. - @Khairykj \n #vaksincovid19 #COVID19\nhttps://t.co/F7iUmagmWr via SinarOnline';Khairykj
SinarOnline;688745;566;b'Kangkah itu adalah susulan daripada pendaftaran buat golongan sasar bagi fasa kedua ini masih kurang sambutan dan belum diterima sepenuhnya. - @Khairykj \n #vaksincovid19 #COVID19\nhttps://t.co/HSF8AaCWGa';Khairykj
RILISonline;8484;150;b'Dia mengaku, tangannya baru bisa digerakkan pada Kamis (24/3/2021). Tetapi, datang lagi gejala lainnya.\n@KemenkesRI #VaksinCovid19 \n https://t.co/uEijMQoc6p';KemenkesRI
mnctrijayafmsmg;3079;321;b'VAKSIN ITU AMAN #VaksinCovid19 di produksi oleh produsen vaksin terpercaya &amp sudah sesuai cara pembuatan obat - obatan &amp vaksin yg baik diawasi , di monitor lembaga pengawasan obat serta \nsudah mendapatkan sertifikat HALAL dari MUI. Informasi ini di sampaikan oleh @dinkesjateng https://t.co/6m91fdSCvI';dinkesjateng
suaraislamgroup;1246;1;b'AstraZeneca yang Bikin Heboh https://t.co/Ky3QRnOPAk lewat @suaraislamID #vaksincovid19 #astrazenecavaccine #mui';suaraislamID
koolfmmy;13810;970;b'Kajian klinikal vaksin yang dibangunkan pada masa ini tidak melibatkan kumpulan umur kanak-kanak. Tiada data keselamatan dan keberkesanan vaksin COVID-19 terhadap kumpulan ini.\n\nSumber : @JPenerangan \n\n#KoolFM \n#VaksinCovid19 \n#LindungDiriLindungSemua\n#JabatanPenerangan https://t.co/7n7xPUyIHk';JPenerangan
RakyatMerdeka99;2055;207;b'Jangan Takut Divaksin, Sinovac Dan AstraZeneca Sama Baiknya\n\n@nuchannels #KetuaPBNU #SekjenPBNU #KHMarsudiSyuhud #HelmyFaishalZaini #VaksinCovid19 #AstraZeneca #Sinovac #ProgramVaksinasi #JanganTakutDivaksin #Nasional #RakyatMerdeka #RMid https://t.co/1CLMis8o58';nuchannels
A_B0NA;159;629;b'Terimakasih @lawancovid19_id @KemenkesRI @KemenBUMN @kemkominfo , atas infrastruktur yg disediakan dlm pelayanan vaksinasi  #vaksincovid19 utk #BersatuLawanCovid19 cc @jokowi @KSPgoid https://t.co/pVwzgDicqK';lawancovid19_id
A_B0NA;159;629;b'Terimakasih @lawancovid19_id @KemenkesRI @KemenBUMN @kemkominfo , atas infrastruktur yg disediakan dlm pelayanan vaksinasi  #vaksincovid19 utk #BersatuLawanCovid19 cc @jokowi @KSPgoid https://t.co/pVwzgDicqK';KemenkesRI
A_B0NA;159;629;b'Terimakasih @lawancovid19_id @KemenkesRI @KemenBUMN @kemkominfo , atas infrastruktur yg disediakan dlm pelayanan vaksinasi  #vaksincovid19 utk #BersatuLawanCovid19 cc @jokowi @KSPgoid https://t.co/pVwzgDicqK';KemenBUMN
A_B0NA;159;629;b'Terimakasih @lawancovid19_id @KemenkesRI @KemenBUMN @kemkominfo , atas infrastruktur yg disediakan dlm pelayanan vaksinasi  #vaksincovid19 utk #BersatuLawanCovid19 cc @jokowi @KSPgoid https://t.co/pVwzgDicqK';kemkominfo
A_B0NA;159;629;b'Terimakasih @lawancovid19_id @KemenkesRI @KemenBUMN @kemkominfo , atas infrastruktur yg disediakan dlm pelayanan vaksinasi  #vaksincovid19 utk #BersatuLawanCovid19 cc @jokowi @KSPgoid https://t.co/pVwzgDicqK';jokowi
A_B0NA;159;629;b'Terimakasih @lawancovid19_id @KemenkesRI @KemenBUMN @kemkominfo , atas infrastruktur yg disediakan dlm pelayanan vaksinasi  #vaksincovid19 utk #BersatuLawanCovid19 cc @jokowi @KSPgoid https://t.co/pVwzgDicqK';KSPgoid
RakyatMerdeka99;2055;207;b'Pustaka Indonesia: Jangan Termakan Hoaks, Vaksin Covid-19 Halal Dan Aman\n\n@KemenkesRI #PustakaIndonesia #AgusPamudji #IsuHoaks #VaksinCovid19 #AstraZeneca #Sinovac #Halal #Aman #Nasional #RakyatMerdeka #RMid https://t.co/ckf0NS30gM';KemenkesRI
rilislampung;120;422;b'Jurnalis Tegar TV, Resana, mengalami beberapa hal yang menganggu usai menerima vaksin Covid-19 di Gedung Balai Keratun, Senin (22/3/2021).\n@KemenkesRI #corona #vaksincovid19 \n https://t.co/FRfHXM7Jbk';KemenkesRI
PsdkpTarakan;307;145;b'Sebanyak 25 orang dari 36 pegawai Stasiun PSDKP Tarakan telah menerima Vaksinasi COVID-19 Tahap I sedangkan yang belum akan menyusul kemudian.\n\n@ditjenpsdkp @akhmadon2020\n\n#vaksincovid19 #pilarpsdkp #psdkp #kkprebound #kkp https://t.co/k41CHImuD6';ditjenpsdkp
PsdkpTarakan;307;145;b'Sebanyak 25 orang dari 36 pegawai Stasiun PSDKP Tarakan telah menerima Vaksinasi COVID-19 Tahap I sedangkan yang belum akan menyusul kemudian.\n\n@ditjenpsdkp @akhmadon2020\n\n#vaksincovid19 #pilarpsdkp #psdkp #kkprebound #kkp https://t.co/k41CHImuD6';akhmadon2020
mang_sel;1755;1112;b'Yuk cari tahu informasi tentang status dan jadwal Vaksinasi COVID-19 di aplikasi JAKI.\n\n#aplikasi #JAKI #VaksinCovid19 #manggaraiselatan\n\n@beritajakarta @kominfotikjs @jsclab @kecamatantebet https://t.co/G8Z1LvmePd';BeritaJakarta
mang_sel;1755;1112;b'Yuk cari tahu informasi tentang status dan jadwal Vaksinasi COVID-19 di aplikasi JAKI.\n\n#aplikasi #JAKI #VaksinCovid19 #manggaraiselatan\n\n@beritajakarta @kominfotikjs @jsclab @kecamatantebet https://t.co/G8Z1LvmePd';JSCLab
mang_sel;1755;1112;b'Yuk cari tahu informasi tentang status dan jadwal Vaksinasi COVID-19 di aplikasi JAKI.\n\n#aplikasi #JAKI #VaksinCovid19 #manggaraiselatan\n\n@beritajakarta @kominfotikjs @jsclab @kecamatantebet https://t.co/G8Z1LvmePd';KecamatanTebet
polres_pemalang;2161;88;b'Ini alasannya kenapa kita harus suntik vaksin Covid-19 dua kali. Yuk simak penjelasannya.\n\n@RTri2000\n@poldajateng_\n@DivHumas_Polri\n\n#pemalang #polrespemalang #pemalangsehat #cegahcorona #covid_19 #indonesia #vaksinasimelawanpandemi #vaks\xc3\xacncovid19 https://t.co/4gif3LVWYq';RTri2000
polres_pemalang;2161;88;b'Ini alasannya kenapa kita harus suntik vaksin Covid-19 dua kali. Yuk simak penjelasannya.\n\n@RTri2000\n@poldajateng_\n@DivHumas_Polri\n\n#pemalang #polrespemalang #pemalangsehat #cegahcorona #covid_19 #indonesia #vaksinasimelawanpandemi #vaks\xc3\xacncovid19 https://t.co/4gif3LVWYq';poldajateng_
polres_pemalang;2161;88;b'Ini alasannya kenapa kita harus suntik vaksin Covid-19 dua kali. Yuk simak penjelasannya.\n\n@RTri2000\n@poldajateng_\n@DivHumas_Polri\n\n#pemalang #polrespemalang #pemalangsehat #cegahcorona #covid_19 #indonesia #vaksinasimelawanpandemi #vaks\xc3\xacncovid19 https://t.co/4gif3LVWYq';DivHumas_Polri
DisbudSleman;773;69;b'Alhamdulillah 23/3, @DisbudSleman  selesai mendapatkan vaksin covid-19 dosis ke-2.\nSemoga Allah mengabulkan ikhtiar kita Aamiin Ya Rabbal Alamin \xf0\x9f\x99\x8f\xf0\x9f\x92\xaa\xf0\x9f\x99\x82\n#salambudaya\n#VaksinCovid19\n#VaksinasiCovid19\n#sleman https://t.co/ay3Y46Qv84';DisbudSleman
AliMD;396;970;b'Ayo sukseskan vaksinasi Covid-19 bagi 181 jt-an WNI untuk herd immunity (kekebalan komunal, kekebalan publik) kita semua!\nAlhamdulillah saya sudah divaksin ke-1 &amp ke-2 &amp bersertifikasi, di Gedung @MUIPusat, 3 &amp 18-3/2021. Ahmad Ali MD #LPBKI_MUI #VaksinasiNasional #vaksincovid19 https://t.co/SmTbMgpD1y';MUIPusat
pmicilegon;1980;218;b'Bolehkah Donor Darah Paska Vaksin.?\nTentu boleh, hanya saja harus menunggu 2 minggu paska menerima Vaksin ke-2 untuk donor darah kembali\n#DonorDarahAman #AyoDonorDarah \n#vaksincovid19 #PMIKotaCilegon #InfoCilegon #KotaCilegon #PMISiapBantu\n@palangmerah @info_cilegon @fesbukbanten https://t.co/Fa8up97JUF';palangmerah
pmicilegon;1980;218;b'Bolehkah Donor Darah Paska Vaksin.?\nTentu boleh, hanya saja harus menunggu 2 minggu paska menerima Vaksin ke-2 untuk donor darah kembali\n#DonorDarahAman #AyoDonorDarah \n#vaksincovid19 #PMIKotaCilegon #InfoCilegon #KotaCilegon #PMISiapBantu\n@palangmerah @info_cilegon @fesbukbanten https://t.co/Fa8up97JUF';info_cilegon
pmicilegon;1980;218;b'Bolehkah Donor Darah Paska Vaksin.?\nTentu boleh, hanya saja harus menunggu 2 minggu paska menerima Vaksin ke-2 untuk donor darah kembali\n#DonorDarahAman #AyoDonorDarah \n#vaksincovid19 #PMIKotaCilegon #InfoCilegon #KotaCilegon #PMISiapBantu\n@palangmerah @info_cilegon @fesbukbanten https://t.co/Fa8up97JUF';fesbukbanten
FikrianaRH;145;158;b'Ayoo semangat vaksin .. Jangan takut \xf0\x9f\x98\x8a#VaksinCovid19 #tenisindorsenayan #sentravaksinasibersamabumn #BUMNUntukIndonesia @rspelni https://t.co/3xPtSRAxLz';rspelni
kominfotikjp;2207;155;b'Sebanyak 163 lansia di Kelurahan Rawasari mendapatkan vaksinasi Covid-19.\n\nSohib Jakpus, sudah dapat jadwal vaksin untuk lansia belum? Kalau sudah dapat jadwal vaksinasi nya jangan ditunda-tunda yah..\n@walikotajakpus @KecCempakaPutih \n#infojakpus #VaksinCovid19 https://t.co/Nn7qtLsS07';walikotajakpus
kominfotikjp;2207;155;b'Sebanyak 163 lansia di Kelurahan Rawasari mendapatkan vaksinasi Covid-19.\n\nSohib Jakpus, sudah dapat jadwal vaksin untuk lansia belum? Kalau sudah dapat jadwal vaksinasi nya jangan ditunda-tunda yah..\n@walikotajakpus @KecCempakaPutih \n#infojakpus #VaksinCovid19 https://t.co/Nn7qtLsS07';KecCempakaPutih
dhiyaaks;553;238;b'Alhamdulillah, selesai!! Terima kasih untuk @kemenkes_ri &amp @plazaasiasmd.official  untuk kesempatan #vaks\xc3\xacncovid19 \xe2\x9d\xa4\xef\xb8\x8f ternyata divaksin tidak semenyeramkan itu..\xf0\x9f\x98\x9dhihiii sampai jumpa divaksin kedua\xe2\x9c\xa8 #vaks\xc3\xacnasicovid19 https://t.co/yGyEF6ROE2';Kemenkes_RI
barakataID;94;63;b'Dinas Kesehatan (Dinkes) Provinsi Kepri mencatat sebanyak 3.605 warga lansia (lannjut usia) di atas 60 tahun di Kepri sudah disuntik vaksin Covid-19 dosis I.\n#VaksinCovid19  #COVID19  #BarakatadotID\nhttps://t.co/0xIe7dC4de @barakataID';barakataID
RakyatMerdeka99;2055;207;b'Disaksikan BGS, Kiai PWNU Jatim Disuntik Vaksin AstraZeneca\n\n@BudiGSadikin #Menkes #VaksinCovid19 #SuntikVaksinCovid19 #VaksinAstraZeneca #DosisPertama #KiaiMuda #KiaiPWNUJatim #VaksinHalal #VaksinAman #Nasional #RakyatMerdeka #RMid https://t.co/9raJKecMQy';BudiGSadikin
RakyatMerdeka99;2055;207;b'Alhamdulillah, Indonesia Sudah Amankan Lebih Dari 360 Juta Dosis Vaksin Covid\n\n@KemenkesRI @BudiGSadikin #VaksinCovid19 #DosisVaksinCovid19 #VaksinasiIndonesia #PengentasanCoronaTanahAir #GovernmentAction #RakyatMerdeka #RMid https://t.co/CNI2z8eex1';KemenkesRI
RakyatMerdeka99;2055;207;b'Alhamdulillah, Indonesia Sudah Amankan Lebih Dari 360 Juta Dosis Vaksin Covid\n\n@KemenkesRI @BudiGSadikin #VaksinCovid19 #DosisVaksinCovid19 #VaksinasiIndonesia #PengentasanCoronaTanahAir #GovernmentAction #RakyatMerdeka #RMid https://t.co/CNI2z8eex1';BudiGSadikin
BPPKkemenkeu;26831;99;b'Pendaftaran GRATIS dan peserta terbatas dengan kuota 500 peserta. Warganed jangan sampai ketinggalan ya!\n\nRegistrasi Online: https://t.co/pQyAvQ6D6O\n\nIlustrasi: @marbunimam\n\n#BelajarTanpaBatas\n#SelaluBelajar\n#SWAPPremiumViaZoom\n#VaksinCovid19';marbunimam
jemsichtiarto;205;523;b'Si babeh, jadi semangat di #VaksinCovid19 di Drive Thru @HalodocID Kemayoran Jakarta. Gegara yg nyuntik #Vaksin Dokternya masih muda...\n\nSelengkapnya...\nhttps://t.co/RG7l5KEPNz';HalodocID
